poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
103,"0,1,2,3","0.4120,0.0162,0.0166,0.5552","0,3,2","""徘徊, 書, 紗窗, 花, 芳草, 風""，""佇立, 松, 池, 竹, 陰, 面面, 香, 鳥""，""曲徑""","0.41,0.02,0.56"
104,"0,1,2,3","0.6298,0.0114,0.0118,0.3470","3,0,2,1","""寂寞, 春光, 無情, 狼籍, 疎影, 空山, 萋萋, 香""，""寂寂, 悲, 杜宇, 玉樓, 舊, 芳草, 黃昏""，""國色, 王孫, 稀綠, 蕭條, 院門""，""金谷, 風雨""","0.63,0.01,0.01,0.35"
105,"0,1,2,3","0.0180,0.0186,0.0175,0.9459","3,0,1,2","""人, 林, 火, 翠, 翩翩, 鳥""，""夜, 歸, 石, 落暉""，""漁, 牧笛, 試聽""，""浮雲""","0.02,0.02,0.02,0.95"
106,"0,1,2,3","0.0124,0.0124,0.0131,0.9621","3,0,2,1","""冰壺, 和, 暗香, 水, 湖, 玉, 畫圖, 芳姿""，""冷, 花""，""妝點, 春色, 東風, 緐華, 臙脂, 錦繡""，""光, 天機, 無邊, 造化""","0.01,0.01,0.01,0.96"
107,"0,1,2,3","0.0202,0.0202,0.0199,0.9397","3,0,1,2","""報曉, 朵朵, 梅花, 滾滾, 香, 鸞""，""瀟灑, 風""，""何湏, 文錦, 楓葉""，""妝""","0.02,0.02,0.02,0.94"
108,"0,1,2,3","0.9517,0.0160,0.0159,0.0163","0,1,3","""他鄉, 佳節, 幽香, 情, 故國, 石, 籬, 菊, 詩, 金, 長空, 雁, 風景""，""重陽""，""生""","0.95,0.02,0.02"
109,"0,1,2,3","0.9546,0.0151,0.0150,0.0153","0,3,2","""參差, 夢裏, 往事, 思, 情, 歸, 淚, 相逢, 素心, 關河, 雁, 風煙""，""影, 疊疊""，""滿目""","0.95,0.02,0.02"
110,"0,1,2,3","0.2911,0.0045,0.0045,0.7000","3,1,0,2","""仙, 塵, 夜堂, 天然, 妬, 姮娥, 婉轉, 寂寞, 影, 掩暎, 柔腸, 笑, 臨風, 芙蓉, 蝶, 輕盈, 陰, 雲, 香""，""光, 妖嬈, 明月, 欄桿, 江, 秋""，""冷, 參差, 夜, 寒, 恨, 情, 戀, 春, 柔, 消息, 瀟灑, 無限, 獨, 玉漏, 花, 芳心, 菊, 西風""，""國色, 妝, 春色, 無力, 蕭疎""","0.29,0.00,0.00,0.70"
111,"0,1,2,3","0.2747,0.0202,0.0191,0.6860","2,1,0,3","""晴暉, 東風, 翺翔""，""南國, 海門, 秋""，""歸, 海棠, 淚""，""一行, 楊柳, 魂, 鶯""","0.27,0.02,0.02,0.69"
112,"0,1,2,3","0.7759,0.0201,0.0206,0.1834","0,3,1,2","""仿佛, 參差, 新詩, 東籬, 瀟灑, 獨, 花""，""奇, 掩暎, 綽約""，""秋色""，""迷離""","0.78,0.02,0.02,0.18"
113,"0,1,2,3","0.9476,0.0176,0.0175,0.0173","0,2,1,3","""三秋, 仔細, 佳句, 冷, 小徑, 東籬, 瀟灑, 難, 風""，""寒香, 朱欄""，""九日, 嫩白""，""詩壇""","0.95,0.02,0.02,0.02"
114,"0,1,2,3","0.0185,0.0192,0.0183,0.9440","3,0,1","""冰, 塵, 暗香, 玉骨, 疎影, 精神, 處士""，""風""，""孤芳, 羅浮, 臘月, 詩人, 霜雪""","0.02,0.02,0.94"
115,"0,1,2,3","0.0223,0.0214,0.0213,0.9351","3,0","""斜陽, 暮, 水, 沙渚, 浪, 香, 鴛鴦""，""心, 無限, 花, 風""","0.02,0.94"
116,"0,1,2,3","0.0121,0.0117,0.0121,0.9640","2,3,1,0","""晴空, 笙歌, 良宵, 金蓮, 銀花""，""天, 宮, 影, 樹, 火, 燭, 珠, 雲, 風度, 香""，""光""，""夜, 春, 玉漏, 簾""","0.01,0.01,0.01,0.96"
117,"0,1,2,3","0.9350,0.0213,0.0213,0.0224","0,3","""冰心, 富貴, 情, 春, 梅, 羣芳, 花""，""冷淡, 奇, 水仙, 生""","0.93,0.02"
